feature_group,feature_name,source_name
macro,macro_sale_me,sale_me
macro,macro_saleq_gr1,saleq_gr1
macro,macro_saleq_su,saleq_su
macro,macro_seas_11_15an,seas_11_15an
macro,macro_seas_11_15na,seas_11_15na
macro,macro_seas_16_20an,seas_16_20an
macro,macro_seas_16_20na,seas_16_20na
macro,macro_seas_1_1an,seas_1_1an
macro,macro_seas_1_1na,seas_1_1na
macro,macro_seas_2_5an,seas_2_5an
macro,macro_seas_2_5na,seas_2_5na
macro,macro_seas_6_10an,seas_6_10an
macro,macro_seas_6_10na,seas_6_10na
macro,macro_sti_gr1a,sti_gr1a
macro,macro_taccruals_at,taccruals_at
macro,macro_taccruals_ni,taccruals_ni
macro,macro_tangibility,tangibility
macro,macro_tax_gr1a,tax_gr1a
macro,macro_turnover_126d,turnover_126d
macro,macro_turnover_var_126d,turnover_var_126d
macro,macro_z_score,z_score
macro,macro_zero_trades_126d,zero_trades_126d
macro,macro_zero_trades_21d,zero_trades_21d
macro,macro_zero_trades_252d,zero_trades_252d
