method_group,n_specs,avg_sharpe_net,median_sharpe_net,avg_ceq_gain_vs_always_short_gamma3,median_ceq_gain_vs_always_short_gamma3,avg_drawdown_diff_vs_always_short,avg_pct_months_traded,avg_turnover,share_beats_always_short_ceq,share_reduces_drawdown
Benchmark: always short volatility,1,3.05445545831452,3.05445545831452,0,0,0,1,0.00645161290322581,,
HAR benchmark timing,1,2.84741563962602,2.84741563962602,-0.392594881489661,-0.392594881489661,0,0.954838709677419,0.0838709677419355,0,0
Historical mean RV timing,1,1.44718019375179,1.44718019375179,-0.972939109976607,-0.972939109976607,2.22722263770691,0.258064516129032,0.167741935483871,0,1
ML: Elastic Net,4,2.89747748753912,2.89589522916288,-0.292116759428134,-0.295321668885898,0,0.967741935483871,0.0516129032258065,0,0
ML: PCA,4,2.82853834020394,2.82804254487638,-0.425273470679827,-0.425872265239349,0,0.951612903225806,0.067741935483871,0,0
ML: Random Forest,4,3.05062134357655,3.00916370942626,0.064516130859658,-0.0801603774491385,-0.00050000000000061,0.962903225806452,0.067741935483871,0.25,0
ML: Neural Network,4,2.78461051212249,2.82598531201813,-0.364761124603057,-0.309750513637517,0.168640227909638,0.869354838709677,0.220967741935484,0.25,0.5
Forecast combinations,9,2.90733314889671,2.9176209818091,-0.261194290203272,-0.251392994225929,0,0.959139784946237,0.0810035842293906,0.111111111111111,0
Stacked forecast combinations,2,3.02017026248663,3.02017026248663,-0.0632148266686265,-0.0632148266686265,0,0.993548387096774,0.0193548387096774,0,0
