forecast_specification,sharpe_rank,sharpe_net,final_cumulative_utility_gain_vs_har,final_cumulative_return_gain_vs_har,final_expanding_ceq_gain_vs_har_annualized
Elastic Net (HAR+Option),1,2.6587451281265,-0.948919053631218,24.9620606162288,0.921038071126753
Random Forest (HAR+Macro+Option),2,2.36809209530932,-2.30497022337303,20.8028247919406,0.584339617910839
Random Forest (HAR+Option),3,2.36674323448765,-4.07179400495604,22.2890276615617,0.526223082199705
Stacked Random Forest (Multiple),4,2.32573412209738,-2.5988728763869,20.2531093357452,0.53285520367423
Stacked Elastic Net (Multiple),5,2.30734158546704,-0.835048086270766,18.2859498852059,0.571745561405388
Equal Weight (HAR+Macro+Option),6,2.27483773920318,-0.529618107518865,17.3678218595995,0.551546642365679
All ML forecasts EW (Multiple),14,1.92046966282442,0.433048717326859,9.53254704330831,0.30279565619539
