rank,model_group,model,information_set,strategy_type,strategy_category,sharpe_net,ceq_gain_vs_always_short_gamma3_annualized,max_drawdown_diff_vs_always_short,pct_months_traded,avg_turnover,annualized_mean_return_net,max_drawdown,worst_monthly_return,hit_ratio
29,Stacked,Stacked Random Forest,Multiple,scaled_long_short,scaled,2.32012381879146,-0.24861378467039,1.7435054861762,0.845161290322581,0.202094983236595,2.66936751770491,-1.71951345198137,-1.23379630045065,0.916129032258065
30,Combination,Equal Weight,Multiple,short_only_exit_when_negative,short_vol_risk_control,2.9176209818091,-0.251392994225929,0,0.974193548387097,0.0580645161290323,4.88363631456932,-3.46301893815756,-2.78845802651901,0.896774193548387
31,Combination,Random Forest EW,Multiple,scaled_short_only,scaled_short_vol_risk_control,2.24710100857929,-0.265093820236065,1.94147780765241,0.832258064516129,0.22014028313029,2.44906497856486,-1.52154113050515,-1.23379630045065,0.909677419354839
32,Combination,Random Forest EW,Multiple,scaled_long_short,scaled,2.23946777956181,-0.274659746164887,1.94147780765241,0.845161290322581,0.222138601655639,2.44345099818712,-1.52154113050515,-1.23379630045065,0.909677419354839
33,ML,Elastic Net,HAR+Macro,short_only_exit_when_negative,short_vol_risk_control,2.90470155862508,-0.280730954489745,0,0.967741935483871,0.0709677419354839,4.87256766508422,-3.46301893815756,-2.78845802651901,0.890322580645161
34,Combination,Equal Weight,HAR+Option,short_only_exit_when_negative,short_vol_risk_control,2.90118354792618,-0.293785003175886,0,0.961290322580645,0.0838709677419355,4.87638005503438,-3.46301893815756,-2.78845802651901,0.883870967741936
35,ML,Neural Network,HAR+Macro,scaled_short_only,scaled_short_vol_risk_control,2.0590066832764,-0.301168226354769,1.94146798519497,0.696774193548387,0.266974623568029,1.8746315862885,-1.52155095296259,-1.23379630045065,0.793548387096774
36,ML,Elastic Net,HAR+Macro+Option,short_only_exit_when_negative,short_vol_risk_control,2.88708889970067,-0.30991238328205,0,0.967741935483871,0.0709677419354839,4.84253376371847,-3.46301893815756,-2.78845802651901,0.890322580645161
37,Combination,Equal Weight,HAR+Macro+Option,short_only_exit_when_negative,short_vol_risk_control,2.87414562612152,-0.337301412948999,0,0.961290322580645,0.0838709677419355,4.8283747861743,-3.46301893815756,-2.78845802651901,0.883870967741936
38,Combination,Random Forest EW,Multiple,binary_timing,long_short,2.89945324503937,-0.337663987617416,0,1,0.0580645161290323,4.92818143407101,-3.46301893815756,-2.78845802651901,0.909677419354839
