rank_ceq_vs_har_gamma3,model_group,model,information_set,forecast_type,n_months,sharpe_net,annualized_mean_return_net,annualized_volatility_net,ceq_gain_vs_har_gamma1_annualized,ceq_gain_vs_har_gamma3_annualized,ceq_gain_vs_har_gamma5_annualized,pct_months_traded,avg_turnover,hit_ratio,max_drawdown,worst_monthly_return,max_drawdown_diff_vs_har,max_drawdown_diff_vs_always_short
1,ML,Elastic Net,HAR+Option,individual,155,2.6587451281265,3.03821014411086,1.14272335169327,1.59537710927772,0.921038071126753,0.246699032975791,0.845161290322581,0.186563406344834,0.92258064516129,-1.51428696702058,-1.0417950388203,0.00839245224832652,1.94873197113698
2,ML,Random Forest,HAR+Macro+Option,individual,155,2.36809209530932,2.71620478997242,1.14700133299403,1.26847405544678,0.584339617910839,-0.0997948196251044,0.825806451612903,0.21774879752689,0.916129032258065,-1.64050651868633,-1.23379630045065,-0.117827099417422,1.82251241947123
3,Stacked,Stacked Elastic Net,Multiple,stacked,155,2.30734158546704,2.52134995848328,1.09275105791192,1.13437281561887,0.571745561405388,0.0091183071919016,0.838709677419355,0.225990963440893,0.916129032258065,-1.52249925640322,-1.23379630045065,0.000180162865689226,1.94051968175434
4,ML,Neural Network,HAR+Macro+Option,individual,155,2.25447538849625,2.34126254654471,1.03849550032407,1.01210138886745,0.565106105028248,0.118110821189049,0.72258064516129,0.280352865785177,0.8,-1.52127650728724,-1.23379630045065,0.00140291198166409,1.94174243087032
5,Combination,Equal Weight,HAR+Macro+Option,infoset_EW,155,2.27483773920318,2.45026907908149,1.07711817720228,1.08025258967111,0.551546642365679,0.0228406950602433,0.806451612903226,0.252549845253042,0.883870967741936,-1.52227606960463,-1.23379630045065,0.000403349664278352,1.94074286855293
6,Stacked,Stacked Random Forest,Multiple,stacked,155,2.32573412209738,2.67364617400891,1.14959235821753,1.22294017339224,0.53285520367423,-0.157229766043778,0.838709677419355,0.200751794862741,0.916129032258065,-1.71951345198137,-1.23379630045065,-0.196834032712458,1.7435054861762
7,ML,Random Forest,HAR+Option,individual,155,2.36674323448765,2.83126565729792,1.19627073019217,1.32580912176007,0.526223082199705,-0.273362957360663,0.845161290322581,0.188022580304279,0.92258064516129,-1.77911293708893,-1.23379630045065,-0.256433517820025,1.68390600106863
8,Combination,Random Forest EW,Multiple,method_EW,155,2.24710100857929,2.44906497856486,1.08987756634637,1.06522371817173,0.508868228900785,-0.0474872603701582,0.832258064516129,0.22014028313029,0.909677419354839,-1.52154113050515,-1.23379630045065,0.00113828876375877,1.94147780765241
9,ML,Neural Network,HAR+Macro,individual,155,2.0590066832764,1.8746315862885,0.910454347484433,0.670243321281252,0.472793822782081,0.27534432428291,0.696774193548387,0.266974623568029,0.793548387096774,-1.52155095296259,-1.23379630045065,0.00112846630632113,1.94146798519497
10,ML,Random Forest,HAR,individual,155,2.08429158813442,2.19117034341572,1.0512782164884,0.848652693603611,0.374944425494716,-0.0987638426141775,0.825806451612903,0.232167390652916,0.903225806451613,-1.52149510821159,-1.23379630045065,0.00118431105732242,1.94152382994598
11,ML,Random Forest,HAR+Macro,individual,155,2.02589663451796,2.10870687939676,1.04087584897859,0.777070907322709,0.325125994689935,-0.126818917942839,0.735483870967742,0.228613731113722,0.825806451612903,-1.5215945532694,-1.23379630045065,0.0010848659995073,1.94142438488816
12,Combination,Equal Weight,Multiple,all_EW,155,1.92046966282442,1.84366715782024,0.960008477878673,0.592934313440182,0.30279565619539,0.0126569989505975,0.819354838709677,0.233458645403946,0.896774193548387,-1.52247542716318,-1.23379630045065,0.00020399210572819,1.94054351099438
13,Combination,Equal Weight,HAR+Macro,infoset_EW,155,1.82117182712082,1.58974745541067,0.872925570084172,0.418823224376691,0.288301793824048,0.157780363271406,0.780645161290323,0.229531908858645,0.870967741935484,-1.52253795693501,-1.23379630045065,0.000141462333900222,1.94048098122255
14,Combination,Neural Network EW,Multiple,method_EW,155,1.95679139157833,2.01811320533605,1.03133794129596,0.696359525177158,0.264179196374701,-0.168001132427755,0.761290322580645,0.284493691626695,0.832258064516129,-1.6269183117584,-1.23379630045065,-0.104238892489494,1.83610062639916
15,Combination,Equal Weight,HAR+Option,infoset_EW,155,2.11572778623875,2.50050811076236,1.18186664987165,1.01217901614235,0.246847858417638,-0.518483299307071,0.806451612903226,0.245939205484798,0.883870967741936,-1.54657643801858,-1.23379630045065,-0.0238970187496683,1.91644250013898
16,Combination,Elastic Net EW,Multiple,method_EW,155,1.7252972044365,1.57873701323922,0.915052206181979,0.370152037639367,0.164309117954995,-0.0415338017293764,0.825806451612903,0.205841758451709,0.903225806451613,-1.52255242941222,-1.23379630045065,0.000126989856683579,1.94046650874534
17,ML,Elastic Net,HAR,individual,155,1.54564914244742,1.26359016883571,0.817514230192575,0.13950070497144,0.102648808758216,0.0657969125449928,0.780645161290323,0.199685635562127,0.858064516129032,-1.52268234507399,-1.23379630045065,-2.92580507732509e-06,1.94033659308358
18,ML,PCA,HAR+Option,individual,155,1.62101678767356,1.43856007704809,0.887443046850039,0.254857790766251,0.0987802497179047,-0.0572972913304417,0.8,0.185278833830906,0.87741935483871,-1.52265975992805,-1.23379630045065,1.96593408556822e-05,1.94035917822951
19,ML,Neural Network,HAR+Option,individual,155,1.61723999695069,1.52332810767552,0.941930765098409,0.289786618975484,0.0340306730907451,-0.221725272793994,0.696774193548387,0.268528029177309,0.787096774193548,-1.2351101464806,-1.23479630045065,0.287569272788311,2.22790879167696
20,ML,PCA,HAR+Macro+Option,individual,155,1.58525596238511,1.47468199568113,0.930248509182319,0.252076145682575,0.018191477200782,-0.215693191281011,0.793548387096774,0.184364475815676,0.870967741935484,-1.52254902445644,-1.23379630045065,0.000130394812465795,1.94046991370112
21,Combination,Equal Weight,HAR,infoset_EW,155,1.45050266690418,1.21185101136834,0.835469688556178,0.0729215055396661,0.00638952539764282,-0.0601424547443806,0.819354838709677,0.195136519006838,0.896774193548387,-1.52258943653528,-1.23379630045065,8.99827336287018e-05,1.94042950162228
22,Benchmark,OLS HAR,HAR,individual,155,1.3913743641749,1.10566351575766,0.794655661500083,0,0,0,0.8,0.177019967582807,0.87741935483871,-1.52267941926891,-1.23379630045065,0,1.94033951888865
23,ML,PCA,HAR,individual,155,1.3913743641749,1.10566351575766,0.794655661500083,0,0,0,0.8,0.177019967582807,0.87741935483871,-1.52267941926891,-1.23379630045065,0,1.94033951888865
24,ML,Elastic Net,HAR+Macro,individual,155,1.40541470106742,1.13894318095199,0.810396518612594,0.0206472166816913,-0.00461768034358601,-0.0298825773688635,0.812903225806452,0.178706583333699,0.890322580645161,-1.52266365387321,-1.23379630045065,1.57653956982529e-05,1.94035528428435
25,Combination,PCA EW,Multiple,method_EW,155,1.45913683509691,1.24401474245614,0.852568938384399,0.0906531395265948,-0.00474303481717164,-0.100139209160938,0.793548387096774,0.174832288034968,0.870967741935484,-1.5226257722342,-1.23379630045065,5.36470347096696e-05,1.94039316592336
26,ML,PCA,HAR+Macro,individual,155,1.33088485004683,1.09075767455697,0.819573289543865,-0.0350172194905009,-0.0752399760701186,-0.115462732649737,0.793548387096774,0.171577534716557,0.870967741935484,-1.52259963111874,-1.23379630045065,7.97881501686248e-05,1.94041930703882
27,ML,Elastic Net,HAR+Macro+Option,individual,155,1.55172006188324,1.52526898158163,0.982953703473091,0.252245284415301,-0.082475078402029,-0.41719544121936,0.812903225806452,0.210013594261391,0.890322580645161,-1.61381658490019,-1.23379630045065,-0.0911371656312792,1.84920235325737
28,ML,Neural Network,HAR,individual,155,1.23737319487668,1.05031939401942,0.848829923234351,-0.0998614308501943,-0.188896049074094,-0.277930667297994,0.787096774193548,0.193698222745339,0.864516129032258,-1.52256121036711,-1.23379630045065,0.000118208901797701,1.94045772779045
29,Naive,Historical Mean RV,Historical RV,naive,155,1.00455398930035,0.714748525758473,0.711508324461763,-0.328298227711315,-0.203064703135566,-0.0778311785598164,0.212903225806452,0.11744893831648,0.309677419354839,-1.23579630045065,-1.23479630045065,0.286883118818257,2.22722263770691
