secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,ticker,index_flag,exchange_d
108105,1996-01-04,30,-90,0.149689,655.8373,36.84085,0.016151,P,SPX,1,32768
108105,1996-01-04,30,-85,0.148119,648.6217,30.42457,0.015687,P,SPX,1,32768
108105,1996-01-04,30,-80,0.146061,642.9226,25.58233,0.015073,P,SPX,1,32768
108105,1996-01-04,30,-75,0.142978,638.0219,21.5728,0.014378,P,SPX,1,32768
108105,1996-01-04,30,-70,0.137702,633.5576,17.97612,0.013362,P,SPX,1,32768
108105,1996-01-04,30,-65,0.130842,629.556,14.79216,0.010544,P,SPX,1,32768
108105,1996-01-04,30,-60,0.126118,626.1956,12.33529,0.006539,P,SPX,1,32768
108105,1996-01-04,30,-55,0.124132,623.2502,10.46886,0.003959,P,SPX,1,32768
108105,1996-01-04,30,-50,0.124046,620.4661,8.967313,0.003696,P,SPX,1,32768
108105,1996-01-04,30,-45,0.1257,617.6712,7.721873,0.00493,P,SPX,1,32768
108105,1996-01-04,30,-40,0.128669,614.7205,6.637063,0.005931,P,SPX,1,32768
108105,1996-01-04,30,-35,0.132251,611.5154,5.635576,0.006393,P,SPX,1,32768
108105,1996-01-04,30,-30,0.13636,607.95,4.694819,0.007611,P,SPX,1,32768
108105,1996-01-04,30,-25,0.141851,603.7889,3.82558,0.010509,P,SPX,1,32768
108105,1996-01-04,30,-20,0.149457,598.6531,3.016735,0.013974,P,SPX,1,32768
108105,1996-01-04,30,-15,0.158648,592.1259,2.228487,0.016721,P,SPX,1,32768
108105,1996-01-04,30,-10,0.167933,583.6387,1.436882,0.018602,P,SPX,1,32768
108105,1996-01-04,30,10,0.096883,642.7569,0.803134,0.005188,C,SPX,1,32768
108105,1996-01-04,30,15,0.098895,638.7863,1.343892,0.004623,C,SPX,1,32768
108105,1996-01-04,30,20,0.100675,635.5488,1.963859,0.003399,C,SPX,1,32768
108105,1996-01-04,30,25,0.101514,632.5961,2.643503,0.002405,C,SPX,1,32768
108105,1996-01-04,30,30,0.102137,629.8998,3.392095,0.002687,C,SPX,1,32768
108105,1996-01-04,30,35,0.103271,627.4228,4.239819,0.003871,C,SPX,1,32768
108105,1996-01-04,30,40,0.10404,625.0135,5.16432,0.005317,C,SPX,1,32768
108105,1996-01-04,30,45,0.102609,622.5965,6.060032,0.006867,C,SPX,1,32768
108105,1996-01-04,30,50,0.099274,620.2809,6.89375,0.007084,C,SPX,1,32768
108105,1996-01-04,30,55,0.09618,618.1185,7.782323,0.005519,C,SPX,1,32768
108105,1996-01-04,30,60,0.094475,616.0121,8.848247,0.003785,C,SPX,1,32768
108105,1996-01-04,30,65,0.093519,613.8716,10.09524,0.003025,C,SPX,1,32768
108105,1996-01-04,30,70,0.092526,611.6701,11.49176,0.002697,C,SPX,1,32768
108105,1996-01-04,30,75,0.091347,609.3687,13.06484,0.002727,C,SPX,1,32768
108105,1996-01-04,30,80,0.089852,606.913,14.86351,0.003527,C,SPX,1,32768
108105,1996-01-04,30,85,0.08774,604.2351,16.95258,0.00496,C,SPX,1,32768
108105,1996-01-04,30,90,0.084782,601.1437,19.52787,0.00655,C,SPX,1,32768
