rolling_window_months,forecast_id,model,information_set,forecast_type,n,squared_error_gain_vs_har,dm_stat_model_minus_har,dm_p_two_sided,dm_p_one_sided_model_better,se_dm_sig
120,rf__HAR_OM__log__rolling,Random Forest,HAR+Macro+Option,individual,155,0.0108562272488304,-1.00371670967715,0.315515180555258,0.157757590277629,""
120,nn__HAR__log__rolling,Neural Network,HAR,individual,155,-0.0251487191841884,1.01008181002011,0.312456096301583,0.843771951849209,""
120,nn__HAR_O__log__rolling,Neural Network,HAR+Option,individual,155,0.00494806080861595,-0.459637763579301,0.645776248427367,0.322888124213684,""
120,nn__HAR_M__log__rolling,Neural Network,HAR+Macro,individual,155,0.00898302523007475,-0.828246346948974,0.407531001156691,0.203765500578346,""
120,nn__HAR_OM__log__rolling,Neural Network,HAR+Macro+Option,individual,155,0.0100105160118479,-0.92685084492252,0.354003981747482,0.177001990873741,""
120,combo_equal_weight_har_across_ml_har_augmented_log_rolling,Equal Weight,HAR,infoset_EW,155,0.00257317432418795,-1.00761499510749,0.313639327395559,0.156819663697779,""
120,combo_equal_weight_har_o_across_ml_har_augmented_log_rolling,Equal Weight,HAR+Option,infoset_EW,155,0.0111689933958616,-1.04864714638721,0.294340548310113,0.147170274155057,""
120,combo_equal_weight_har_m_across_ml_har_augmented_log_rolling,Equal Weight,HAR+Macro,infoset_EW,155,0.00739996629769237,-0.982216286687833,0.32599330557703,0.162996652788515,""
120,combo_equal_weight_har_om_across_ml_har_augmented_log_rolling,Equal Weight,HAR+Macro+Option,infoset_EW,155,0.0096761022455563,-1.05946617229893,0.289387527222987,0.144693763611493,""
120,combo_equal_weight_enet_across_har_augmented_datasets_log_rolling,Elastic Net EW,Multiple,method_EW,155,0.00739582050876669,-1.09510081522366,0.273472471583272,0.136736235791636,""
120,combo_equal_weight_pca_across_har_augmented_datasets_log_rolling,PCA EW,Multiple,method_EW,155,0.00086392895174529,-1.51969859156426,0.128586745755297,0.0642933728776483,*
120,combo_equal_weight_rf_across_har_augmented_datasets_log_rolling,Random Forest EW,Multiple,method_EW,155,0.010883463756135,-1.00648466238488,0.314182485954364,0.157091242977182,""
120,combo_equal_weight_nn_across_har_augmented_datasets_log_rolling,Neural Network EW,Multiple,method_EW,155,0.0093084031699801,-1.01149607259774,0.311779059903735,0.155889529951867,""
120,combo_equal_weight_all_har_augmented_ml_x_dataset_log_rolling,Equal Weight,Multiple,all_EW,155,0.00875747246009123,-1.06273147770871,0.287903741646662,0.143951870823331,""
