forecast_id,model_group,model,information_set,forecast_type,window_type,refit_frequency,target_scale,n_oos,mse,rmse,rmse_har,rmse_gain_vs_har,qlike,qlike_har,qlike_gain_vs_har,r2_oos_vs_har,notes,combination_members,utility_gain,wealth_gain,members,rank_r2_oos,rank_qlike
enet__HAR_OM__log__rolling,ML,Elastic Net,HAR+Macro+Option,individual,rolling,1,log_rv,211,0.0226538096556926,0.150511825634043,0.28128503041405,0.130773204780007,0.41677447318408,0.354245662647942,-0.0625288105361375,0.713682425314938,Rolling window = 60 months; monthly refit.,,0.000763954864394876,-0.168417995385274,1,17,17
enet__HAR_O__log__rolling,ML,Elastic Net,HAR+Option,individual,rolling,1,log_rv,231,0.0219583705308151,0.148183570380846,0.269744157169919,0.121560586789073,0.328497843266715,0.357504548578522,0.0290067053118069,0.698216134897527,Rolling window = 60 months; monthly refit.,,0.00049803033052347,-0.179815576942813,1,18,7
enet__HAR__log__rolling,ML,Elastic Net,HAR,individual,rolling,1,log_rv,302,0.0203826971728394,0.142767983710773,0.243796863126124,0.101028879415352,0.453639738038107,0.406549027782391,-0.0470907102557158,0.657070042644967,Rolling window = 60 months; monthly refit.,,0.000733534676104018,0.0386063556016321,1,19,24
ew_method__enet__rolling60,Combination,Elastic Net EW,Multiple,method_EW,rolling,1,log_rv,211,0.0291130893050649,0.170625582211651,0.28128503041405,0.110659448202399,0.291486400481736,0.354245662647942,0.0627592621662064,0.632044709119325,Rolling window = 60 months; equal weight across information sets.,enet__HAR__log__rolling | enet__HAR_M__log__rolling | enet__HAR_O__log__rolling | enet__HAR_OM__log__rolling,0.00243366072787694,-0.139048955558925,4,20,4
ew_infoset__HAR_M__rolling60,Combination,Equal Weight,HAR+Macro,infoset_EW,rolling,1,log_rv,276,0.0254607194313458,0.15956415459415,0.254188541855328,0.0946243872611785,0.401150236508217,0.414356305403575,0.0132060688953577,0.605943285976342,Rolling window = 60 months; equal weight across ML methods.,enet__HAR_M__log__rolling | nn__HAR_M__log__rolling | pca__HAR_M__log__rolling | rf__HAR_M__log__rolling,0.000226607090074663,0.0360370175727223,4,21,14
pca__HAR_O__log__rolling,ML,PCA,HAR+Option,individual,rolling,1,log_rv,226,0.054551357519312,0.233562320418581,0.272700214987212,0.039137894568631,0.321221542335237,0.363833810591403,0.0426122682561654,0.266441756542319,Rolling window = 60 months; monthly refit.,,-0.000174252865337399,-0.223016907114248,1,22,6
pca__HAR_OM__log__rolling,ML,PCA,HAR+Macro+Option,individual,rolling,1,log_rv,206,0.06417038016099,0.253318732353117,0.284666116573038,0.0313473842199213,0.36920018510757,0.361110316945312,-0.00808986816225821,0.208113282141333,Rolling window = 60 months; monthly refit.,,-0.00136549269669337,-0.246783348568183,1,23,11
har_ols__HAR__log__rolling,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,302,0.0594369104701382,0.243796863126124,0.243796863126124,0,0.406549027782391,0.406549027782391,0,0,Rolling window = 60 months; monthly refit.,,0,0,1,24,15
pca__HAR__log__rolling,ML,PCA,HAR,individual,rolling,1,log_rv,302,0.0594369104701382,0.243796863126124,0.243796863126124,0,0.406549027782391,0.406549027782391,0,0,Rolling window = 60 months; monthly refit.,,0,0,1,24,15
ew_method__pca__rolling60,Combination,PCA EW,Multiple,method_EW,rolling,1,log_rv,206,0.0824290853765129,0.287104659273431,0.284666116573038,-0.00243854270039301,0.302071635537827,0.361110316945312,0.0590386814074849,-0.0172060335491031,Rolling window = 60 months; equal weight across information sets.,pca__HAR__log__rolling | pca__HAR_M__log__rolling | pca__HAR_O__log__rolling | pca__HAR_OM__log__rolling,0.00106351100043688,-0.196114189447094,4,26,5
enet__HAR_M__log__rolling,ML,Elastic Net,HAR+Macro,individual,rolling,1,log_rv,276,0.0698386474286299,0.26427002748823,0.254188541855328,-0.0100814856329018,0.417886786008583,0.414356305403575,-0.00353048060500794,-0.0808959264403677,Rolling window = 60 months; monthly refit.,,0.00127795836819791,0.063208692556388,1,27,18
pca__HAR_M__log__rolling,ML,PCA,HAR+Macro,individual,rolling,1,log_rv,276,0.115377866860019,0.339673176538889,0.254188541855328,-0.0854846346835606,0.423316979719652,0.414356305403575,-0.00896067431607644,-0.785708499263535,Rolling window = 60 months; monthly refit.,,0.00026917391400395,0.017917268530693,1,28,21
