forecast_id,model_group,model,information_set,forecast_type,window_type,refit_frequency,target_scale,n_oos,mse,rmse,rmse_har,rmse_gain_vs_har,qlike,qlike_har,qlike_gain_vs_har,r2_oos_vs_har,notes,combination_members,utility_gain,wealth_gain,members,rank_r2_oos,rank_qlike
enet__HAR_OM__log__rolling,ML,Elastic Net,HAR+Macro+Option,individual,rolling,1,log_rv,156,0.00273473424894028,0.0522946866224503,0.0655172609419916,0.0132225743195413,0.270401014477175,0.327914626886836,0.0575136124096615,0.362905781189447,Rolling window = 180 months; monthly refit.,,-0.00099610620512855,-0.0115114250235768,1,11,10
nn__HAR__log__rolling,ML,Neural Network,HAR,individual,rolling,1,log_rv,182,0.00271454782579481,0.0521013226875749,0.0641146690567793,0.0120133463692044,0.329935839754611,0.320704440245135,-0.00923139950947682,0.339637066950584,Rolling window = 180 months; monthly refit.,,0.00440884802886806,0.108612233926356,1,12,20
rf__HAR__log__rolling,ML,Random Forest,HAR,individual,rolling,1,log_rv,182,0.00277599889175806,0.0526877489722047,0.0641146690567793,0.0114269200845746,0.33503049442518,0.320704440245135,-0.0143260541800453,0.324687981960114,Rolling window = 180 months; monthly refit.,,0.00161105338061293,0.0517893138059034,1,13,21
ew_method__nn__rolling180,Combination,Neural Network EW,Multiple,method_EW,rolling,1,log_rv,156,0.00306553890391573,0.0553673089820675,0.0655172609419916,0.0101499519599241,0.282369062676358,0.327914626886836,0.0455455642104785,0.285840255234907,Rolling window = 180 months; equal weight across information sets.,nn__HAR__log__rolling | nn__HAR_M__log__rolling | nn__HAR_O__log__rolling | nn__HAR_OM__log__rolling,-0.001563024441747,-0.0321395407048508,4,14,13
ew_infoset__HAR__rolling180,Combination,Equal Weight,HAR,infoset_EW,rolling,1,log_rv,182,0.00295056959495128,0.0543191457494619,0.0641146690567793,0.00979552330731744,0.30534851393358,0.320704440245135,0.0153559263115548,0.282220496034931,Rolling window = 180 months; equal weight across ML methods.,enet__HAR__log__rolling | nn__HAR__log__rolling | pca__HAR__log__rolling | rf__HAR__log__rolling,0.000753587712225272,0.0212440872666599,4,15,15
rf__HAR_M__log__rolling,ML,Random Forest,HAR+Macro,individual,rolling,1,log_rv,156,0.00317569673552671,0.0563533205368301,0.0655172609419916,0.00916394040516149,0.38378540345796,0.327914626886836,-0.0558707765711236,0.260177462697292,Rolling window = 180 months; monthly refit.,,-0.00330239180343965,-0.0557299976040455,1,16,25
nn__HAR_OM__log__rolling,ML,Neural Network,HAR+Macro+Option,individual,rolling,1,log_rv,156,0.00342044994328808,0.0584846128762779,0.0655172609419916,0.0070326480657137,0.463155509670094,0.327914626886836,-0.135240882783257,0.203158813166526,Rolling window = 180 months; monthly refit.,,-0.000960328762205139,0.0247954828855863,1,17,26
ew_infoset__HAR_M__rolling180,Combination,Equal Weight,HAR+Macro,infoset_EW,rolling,1,log_rv,156,0.00343725168837254,0.0586280793508754,0.0655172609419916,0.0068891815911162,0.337823989246257,0.327914626886836,-0.00990936235942047,0.199244613948309,Rolling window = 180 months; equal weight across ML methods.,enet__HAR_M__log__rolling | nn__HAR_M__log__rolling | pca__HAR_M__log__rolling | rf__HAR_M__log__rolling,-0.00130055359414819,-0.0252617084563602,4,18,23
enet__HAR__log__rolling,ML,Elastic Net,HAR,individual,rolling,1,log_rv,182,0.00381776643671817,0.0617880768167951,0.0641146690567793,0.00232659223998422,0.326631499119223,0.320704440245135,-0.00592705887408823,0.071259154879448,Rolling window = 180 months; monthly refit.,,-0.000280908525316308,-0.00568935674839444,1,19,19
pca__HAR_O__log__rolling,ML,PCA,HAR+Option,individual,rolling,1,log_rv,176,0.00407811021707092,0.0638600831276543,0.0650317428108103,0.00117165968315595,0.26640248677499,0.328043989500977,0.0616415027259875,0.0357088674515728,Rolling window = 180 months; monthly refit.,,-0.000597224750309069,-0.0184226601202628,1,20,9
pca__HAR_OM__log__rolling,ML,PCA,HAR+Macro+Option,individual,rolling,1,log_rv,156,0.00423183282609632,0.0650525389673325,0.0655172609419916,0.000464721974659021,0.277069932536624,0.327914626886836,0.0508446943502124,0.0141359331264357,Rolling window = 180 months; monthly refit.,,-0.00140646324496767,-0.032454927982746,1,21,12
enet__HAR_M__log__rolling,ML,Elastic Net,HAR+Macro,individual,rolling,1,log_rv,156,0.0042412122991851,0.0651245905874663,0.0655172609419916,0.000392670354525282,0.325301308597705,0.327914626886836,0.00261331828913125,0.0119508549665859,Rolling window = 180 months; monthly refit.,,0.000189025568004236,0.00403952610352065,1,22,18
ew_method__pca__rolling180,Combination,PCA EW,Multiple,method_EW,rolling,1,log_rv,156,0.00426869102012013,0.0653352203648241,0.0655172609419916,0.000182040577167433,0.286781398274617,0.327914626886836,0.0411332286122192,0.00554930635000694,Rolling window = 180 months; equal weight across information sets.,pca__HAR__log__rolling | pca__HAR_M__log__rolling | pca__HAR_O__log__rolling | pca__HAR_OM__log__rolling,-0.000757171203377895,-0.019909979511022,4,23,14
har_ols__HAR__log__rolling,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,182,0.00411069078826034,0.0641146690567793,0.0641146690567793,0,0.320704440245135,0.320704440245135,0,0,Rolling window = 180 months; monthly refit.,,0,0,1,24,16
pca__HAR__log__rolling,ML,PCA,HAR,individual,rolling,1,log_rv,182,0.00411069078826034,0.0641146690567793,0.0641146690567793,0,0.320704440245135,0.320704440245135,0,0,Rolling window = 180 months; monthly refit.,,0,0,1,24,16
pca__HAR_M__log__rolling,ML,PCA,HAR+Macro,individual,rolling,1,log_rv,156,0.0046169416731536,0.0679480807172182,0.0655172609419916,-0.00243081977522663,0.336469284504638,0.327914626886836,-0.00855465761780122,-0.0755805064757176,Rolling window = 180 months; monthly refit.,,-0.00064731704378657,-0.013047917860767,1,26,22
nn__HAR_M__log__rolling,ML,Neural Network,HAR+Macro,individual,rolling,1,log_rv,156,0.00495979193722627,0.0704257902847123,0.0655172609419916,-0.00490852934272072,0.616871050523405,0.327914626886836,-0.288956423636568,-0.155452223898723,Rolling window = 180 months; monthly refit.,,0.00250777125214815,0.0917277277149917,1,27,27
nn__HAR_O__log__rolling,ML,Neural Network,HAR+Option,individual,rolling,1,log_rv,176,0.0109703829907771,0.104739596098023,0.0650317428108103,-0.0397078532872132,1.57415185749323,0.328043989500977,-1.24610786799226,-1.59400616353731,Rolling window = 180 months; monthly refit.,,-0.000241881655633103,0.177314340078286,1,28,28
