forecast_id,model_group,model,information_set,forecast_type,window_type,refit_frequency,target_scale,n_oos,mse,rmse,rmse_har,rmse_gain_vs_har,qlike,qlike_har,qlike_gain_vs_har,r2_oos_vs_har,notes,combination_members,utility_gain,wealth_gain,members,rank_r2_oos,rank_qlike
enet__HAR_O__log__rolling,ML,Elastic Net,HAR+Option,individual,rolling,1,log_rv,176,0.00186845496011636,0.0432256285103682,0.0650317428108103,0.0218061143004421,0.205593064382052,0.328043989500977,0.122450925118925,0.558193757965567,Rolling window = 180 months; monthly refit.,,0.00115248963312103,0.0165789260471709,1,1,1
stacked_enet__ALL_ML__log__rolling,Stacked,Stacked Elastic Net,Multiple,stacked,rolling,1,log_rv,146,0.00237280446367641,0.0487114407883447,0.0684531510910901,0.0197417103027454,0.271186984191073,0.34468544581514,0.0734984616240674,0.493621729408086,Stacked with Elastic Net; meta-window=180; min_history=36,enet__HAR__log__rolling | enet__HAR_M__log__rolling | enet__HAR_O__log__rolling | enet__HAR_OM__log__rolling | nn__HAR__log__rolling | nn__HAR_M__log__rolling | nn__HAR_O__log__rolling | nn__HAR_OM__log__rolling | pca__HAR__log__rolling | pca__HAR_M__log__rolling | pca__HAR_O__log__rolling | pca__HAR_OM__log__rolling | rf__HAR__log__rolling | rf__HAR_M__log__rolling | rf__HAR_O__log__rolling | rf__HAR_OM__log__rolling,-0.00783671732028508,-0.212311905418144,16,2,11
rf__HAR_O__log__rolling,ML,Random Forest,HAR+Option,individual,rolling,1,log_rv,176,0.00216868774943171,0.0465691716635771,0.0650317428108103,0.0184625711472332,0.22759133158123,0.328043989500977,0.100452657919747,0.487202097361304,Rolling window = 180 months; monthly refit.,,0.000100128755122782,0.00605368678786267,1,3,3
rf__HAR_OM__log__rolling,ML,Random Forest,HAR+Macro+Option,individual,rolling,1,log_rv,156,0.00235151455358432,0.0484924174854618,0.0655172609419916,0.0170248434565298,0.239893839559163,0.327914626886836,0.0880207873276733,0.452182116738407,Rolling window = 180 months; monthly refit.,,-0.00111347759672168,-0.0221161406461634,1,4,6
ew_method__rf__rolling180,Combination,Random Forest EW,Multiple,method_EW,rolling,1,log_rv,156,0.00238305658381307,0.0488165605487837,0.0655172609419916,0.0167007003932078,0.249417548362994,0.327914626886836,0.0784970785238425,0.444833963945838,Rolling window = 180 months; equal weight across information sets.,rf__HAR__log__rolling | rf__HAR_M__log__rolling | rf__HAR_O__log__rolling | rf__HAR_OM__log__rolling,-0.000692517773667523,-0.0138357722828195,4,5,8
ew_method__enet__rolling180,Combination,Elastic Net EW,Multiple,method_EW,rolling,1,log_rv,156,0.00242055999210702,0.049199186904938,0.0655172609419916,0.0163180740370536,0.216187665927652,0.327914626886836,0.111726960959184,0.436097025569092,Rolling window = 180 months; equal weight across information sets.,enet__HAR__log__rolling | enet__HAR_M__log__rolling | enet__HAR_O__log__rolling | enet__HAR_OM__log__rolling,0.00132802852157744,0.0170162874752013,4,6,2
ew_all_ml__rolling180,Combination,Equal Weight,Multiple,all_EW,rolling,1,log_rv,156,0.00247074197694233,0.0497065586914074,0.0655172609419916,0.0158107022505842,0.228540006871123,0.327914626886836,0.0993746200157134,0.424406437191299,Rolling window = 180 months; equal weight across all ML forecasts.,enet__HAR__log__rolling | enet__HAR_M__log__rolling | enet__HAR_O__log__rolling | enet__HAR_OM__log__rolling | nn__HAR__log__rolling | nn__HAR_M__log__rolling | nn__HAR_O__log__rolling | nn__HAR_OM__log__rolling | pca__HAR__log__rolling | pca__HAR_M__log__rolling | pca__HAR_O__log__rolling | pca__HAR_OM__log__rolling | rf__HAR__log__rolling | rf__HAR_M__log__rolling | rf__HAR_O__log__rolling | rf__HAR_OM__log__rolling,-0.000699378420885202,-0.0229438011873317,16,7,4
ew_infoset__HAR_OM__rolling180,Combination,Equal Weight,HAR+Macro+Option,infoset_EW,rolling,1,log_rv,156,0.00248985349361058,0.0498984317750627,0.0655172609419916,0.0156188291669289,0.24082310829803,0.327914626886836,0.0870915185888062,0.419954144692762,Rolling window = 180 months; equal weight across ML methods.,enet__HAR_OM__log__rolling | nn__HAR_OM__log__rolling | pca__HAR_OM__log__rolling | rf__HAR_OM__log__rolling,-0.00125854494607935,-0.0251384221447815,4,8,7
ew_infoset__HAR_O__rolling180,Combination,Equal Weight,HAR+Option,infoset_EW,rolling,1,log_rv,176,0.00246191573956614,0.0496176958308842,0.0650317428108103,0.0154140469799261,0.239531191344716,0.328043989500977,0.0885127981562611,0.417866759263278,Rolling window = 180 months; equal weight across ML methods.,enet__HAR_O__log__rolling | nn__HAR_O__log__rolling | pca__HAR_O__log__rolling | rf__HAR_O__log__rolling,-0.0017774658093474,-0.0433900249917374,4,9,5
stacked_rf__ALL_ML__log__rolling,Stacked,Stacked Random Forest,Multiple,stacked,rolling,1,log_rv,146,0.00276160615279198,0.0525509862209263,0.0684531510910901,0.0159021648701639,0.359283638553052,0.34468544581514,-0.0145981927379118,0.410647877179019,Stacked with Random Forest; meta-window=180; min_history=36,enet__HAR__log__rolling | enet__HAR_M__log__rolling | enet__HAR_O__log__rolling | enet__HAR_OM__log__rolling | nn__HAR__log__rolling | nn__HAR_M__log__rolling | nn__HAR_O__log__rolling | nn__HAR_OM__log__rolling | pca__HAR__log__rolling | pca__HAR_M__log__rolling | pca__HAR_O__log__rolling | pca__HAR_OM__log__rolling | rf__HAR__log__rolling | rf__HAR_M__log__rolling | rf__HAR_O__log__rolling | rf__HAR_OM__log__rolling,-0.00901420384728694,-0.214160244445224,16,10,24
